'	ち
a	か
b	ゃ
c	に
d	て
ea	お
eb	め
ec	ほ
ed	ら
ef	も
eg	よ
ei	ぃ
en	ぁ
eo	ぉ
ep	せ
er	は
es	す
et	あ
ev	け
ew	さ
ex	ー
ez	ね
f	た
g	ふ
h	う
ia	が
ib	ぷ
ic	ぼ
id	で
ie	ヶ
if	だ
ig	ぶ
in	ヵ
ip	ぜ
iq	ゐ
ir	ば
is	ず
it	ど
iv	げ
iw	ざ
ix	ぱ
iz	ぽ
j	つ
k	く
l	っ
m	る
n	ん
o	し
p	ま
q	・
r,	ぴ
r.	ゑ
r'	ぢ
re	ぞ
rh	ゔ
ri	ご
rj	づ
rk	ぐ
rl	べ
rm	ぺ
rn	を
ro	じ
rs	゛
rt	゜
ru	び
ry	ぎ
s,	ゆ
s.	む
s'	ろ
s[	「
s]	」
sa	ゎ
se	そ
sh	や
si	こ
sj	ぬ
sk	え
sl	へ
sm	わ
sn	れ
so	り
sr	ぇ
st	ぅ
su	ひ
sy	み
t	と
u	い
v	な
w	の
x	ゅ
y	き
z	ょ
