;	し
:	ち
a	か
b	ゃ
c	に
d,	ゆ
d;	り
d:	ろ
d.	む
d[	「
d]	」
da	ゎ
df	ぅ
dh	や
di	ひ
dj	れ
dk	そ
dl	こ
dm	わ
dn	え
do	み
ds	ぇ
du	へ
dy	ぬ
e	た
f	と
g	て
h	う
i	い
j	ん
k;	ぉ
ka	お
kb	め
kc	ほ
kd	す
ke	も
kf	あ
kg	ら
kj	ぁ
kl	ぃ
kr	せ
ks	は
kt	よ
kv	け
kw	さ
kx	ー
kz	ね
la	が
lb	ぷ
lc	ぼ
ld	ず
le	だ
lf	ど
lg	で
lj	ヵ
lk	ヶ
lq	ゐ
lr	ぜ
ls	ば
lt	ぶ
lv	げ
lw	ざ
lx	ぱ
lz	ぽ
m	る
n	く
o	き
q	・
r	ま
s,	ぴ
s;	じ
s:	ぢ
s.	ゑ
sd	゛
sf	゜
sh	ゔ
si	び
sj	を
sk	ぞ
sl	ご
sm	ぺ
sn	ぐ
so	ぎ
su	べ
sy	づ
t	ふ
u	っ
v	な
w	の
x	ゅ
y	つ
z	ょ
