No.,1文字目,3文字目,出現数
1,あ,あ,49
2,あ,い,145
3,あ,う,44
4,あ,え,50
5,あ,お,61
6,あ,か,139
7,あ,き,51
8,あ,く,50
9,あ,け,39
10,あ,こ,104
11,あ,さ,51
12,あ,し,105
13,あ,す,38
14,あ,せ,68
15,あ,そ,37
16,あ,た,437
17,あ,ち,34
18,あ,つ,39
19,あ,て,265
20,あ,と,151
21,あ,な,74
22,あ,に,103
23,あ,ぬ,2
24,あ,ね,15
25,あ,の,188
26,あ,は,139
27,あ,ひ,47
28,あ,ふ,10
29,あ,へ,9
30,あ,ほ,12
31,あ,ま,428
32,あ,み,21
33,あ,む,13
34,あ,め,25
35,あ,も,54
36,あ,や,24
37,あ,ゆ,12
38,あ,よ,31
39,あ,ら,115
40,あ,り,218
41,あ,る,106
42,あ,れ,46
43,あ,ろ,7
44,あ,わ,50
45,あ,ゐ,0
46,あ,ゑ,0
47,あ,を,88
48,あ,ん,122
49,あ,ヴ,0
50,あ,が,140
51,あ,ぎ,7
52,あ,ぐ,19
53,あ,げ,3
54,あ,ご,14
55,あ,ざ,4
56,あ,じ,36
57,あ,ず,16
58,あ,ぜ,15
59,あ,ぞ,4
60,あ,だ,106
61,あ,ぢ,0
62,あ,づ,2
63,あ,で,57
64,あ,ど,28
65,あ,ば,63
66,あ,び,37
67,あ,ぶ,30
68,あ,べ,10
69,あ,ぼ,6
70,あ,ぱ,4
71,あ,ぴ,1
72,あ,ぷ,38
73,あ,ぺ,3
74,あ,ぽ,3
75,あ,ぁ,3
76,あ,ぃ,0
77,あ,ぅ,0
78,あ,ぇ,0
79,あ,ぉ,0
80,あ,っ,81
81,あ,ゃ,18
82,あ,ゅ,2
83,あ,ょ,3
84,あ,ゎ,0
85,あ,ヵ,0
86,あ,ヶ,0
87,あ,ー,12
88,あ,～,0
89,あ,…,28
90,あ,・,14
91,あ,、,217
92,あ,。,210
93,あ,，,0
94,あ,．,0
95,あ,；,0
96,あ,：,0
97,あ,！,8
98,あ,？,4
99,あ,「,6
100,あ,」,29
101,あ,（,5
102,あ,）,7
103,あ,［,0
104,あ,］,0
105,あ,｛,0
106,あ,｝,0
107,あ,‘,0
108,あ,’,0
109,あ,“,2
110,あ,”,1
111,あ,1,4
112,あ,2,4
113,あ,3,3
114,あ,4,1
115,あ,5,0
116,あ,6,0
117,あ,7,0
118,あ,8,2
119,あ,9,1
120,あ,0,0
121,あ,＝,0
122,あ,＜,0
123,あ,＞,0
124,あ,＋,0
125,あ,?,0
126,あ,＊,0
127,あ,×,0
128,あ,／,0
129,あ,÷,0
130,あ,＃,0
131,あ,＄,0
132,あ,￥,0
133,あ,％,0
134,あ,＆,0
135,い,あ,318
136,い,い,1219
137,い,う,757
138,い,え,59
139,い,お,344
140,い,か,623
141,い,き,415
142,い,く,450
143,い,け,131
144,い,こ,598
145,い,さ,183
146,い,し,1094
147,い,す,853
148,い,せ,172
149,い,そ,169
150,い,た,633
151,い,ち,287
152,い,つ,469
153,い,て,597
154,い,と,795
155,い,な,505
156,い,に,379
157,い,ぬ,10
158,い,ね,65
159,い,の,877
160,い,は,414
161,い,ひ,176
162,い,ふ,84
163,い,へ,37
164,い,ほ,99
165,い,ま,389
166,い,み,120
167,い,む,39
168,い,め,92
169,い,も,384
170,い,や,118
171,い,ゆ,34
172,い,よ,192
173,い,ら,257
174,い,り,141
175,い,る,262
176,い,れ,204
177,い,ろ,107
178,い,わ,156
179,い,ゐ,0
180,い,ゑ,0
181,い,を,173
182,い,ん,1122
183,い,ヴ,0
184,い,が,320
185,い,ぎ,27
186,い,ぐ,24
187,い,げ,37
188,い,ご,47
189,い,ざ,14
190,い,じ,209
191,い,ず,42
192,い,ぜ,23
193,い,ぞ,8
194,い,だ,248
195,い,ぢ,1
196,い,づ,20
197,い,で,356
198,い,ど,160
199,い,ば,159
200,い,び,20
201,い,ぶ,61
202,い,べ,31
203,い,ぼ,22
204,い,ぱ,87
205,い,ぴ,11
206,い,ぷ,13
207,い,ぺ,11
208,い,ぽ,36
209,い,ぁ,13
210,い,ぃ,7
211,い,ぅ,1
212,い,ぇ,5
213,い,ぉ,3
214,い,っ,150
215,い,ゃ,172
216,い,ゅ,160
217,い,ょ,510
218,い,ゎ,0
219,い,ヵ,0
220,い,ヶ,0
221,い,ー,92
222,い,～,1
223,い,…,23
224,い,・,25
225,い,、,548
226,い,。,594
227,い,，,1
228,い,．,0
229,い,；,0
230,い,：,0
231,い,！,19
232,い,？,16
233,い,「,75
234,い,」,135
235,い,（,26
236,い,）,17
237,い,［,0
238,い,］,0
239,い,｛,0
240,い,｝,0
241,い,‘,0
242,い,’,0
243,い,“,2
244,い,”,7
245,い,1,20
246,い,2,14
247,い,3,12
248,い,4,5
249,い,5,5
250,い,6,7
251,い,7,4
252,い,8,7
253,い,9,3
254,い,0,3
255,い,＝,2
256,い,＜,0
257,い,＞,0
258,い,＋,0
259,い,?,5
260,い,＊,4
261,い,×,0
262,い,／,0
263,い,÷,0
264,い,＃,0
265,い,＄,0
266,い,￥,0
267,い,％,0
268,い,＆,1
269,う,あ,301
270,う,い,1128
271,う,う,976
272,う,え,68
273,う,お,259
274,う,か,351
275,う,き,332
276,う,く,486
277,う,け,101
278,う,こ,220
279,う,さ,167
280,う,し,599
281,う,す,287
282,う,せ,94
283,う,そ,132
284,う,た,371
285,う,ち,134
286,う,つ,306
287,う,て,362
288,う,と,479
289,う,な,378
290,う,に,325
291,う,ぬ,16
292,う,ね,24
293,う,の,421
294,う,は,393
295,う,ひ,109
296,う,ふ,67
297,う,へ,46
298,う,ほ,58
299,う,ま,174
300,う,み,127
301,う,む,38
302,う,め,44
303,う,も,234
304,う,や,100
305,う,ゆ,29
306,う,よ,133
307,う,ら,140
308,う,り,99
309,う,る,265
310,う,れ,139
311,う,ろ,50
312,う,わ,90
313,う,ゐ,1
314,う,ゑ,0
315,う,を,190
316,う,ん,1306
317,う,ヴ,1
318,う,が,255
319,う,ぎ,57
320,う,ぐ,18
321,う,げ,29
322,う,ご,44
323,う,ざ,32
324,う,じ,137
325,う,ず,20
326,う,ぜ,17
327,う,ぞ,4
328,う,だ,132
329,う,ぢ,0
330,う,づ,5
331,う,で,236
332,う,ど,159
333,う,ば,33
334,う,び,13
335,う,ぶ,42
336,う,べ,20
337,う,ぼ,23
338,う,ぱ,12
339,う,ぴ,3
340,う,ぷ,3
341,う,ぺ,3
342,う,ぽ,3
343,う,ぁ,7
344,う,ぃ,0
345,う,ぅ,0
346,う,ぇ,0
347,う,ぉ,4
348,う,っ,193
349,う,ゃ,194
350,う,ゅ,273
351,う,ょ,668
352,う,ゎ,0
353,う,ヵ,0
354,う,ヶ,0
355,う,ー,44
356,う,～,2
357,う,…,19
358,う,・,21
359,う,、,440
360,う,。,197
361,う,，,0
362,う,．,1
363,う,；,0
364,う,：,0
365,う,！,12
366,う,？,38
367,う,「,72
368,う,」,92
369,う,（,23
370,う,）,15
371,う,［,0
372,う,］,0
373,う,｛,0
374,う,｝,0
375,う,‘,0
376,う,’,0
377,う,“,6
378,う,”,5
379,う,1,17
380,う,2,24
381,う,3,9
382,う,4,7
383,う,5,7
384,う,6,1
385,う,7,3
386,う,8,3
387,う,9,8
388,う,0,5
389,う,＝,1
390,う,＜,0
391,う,＞,24
392,う,＋,1
393,う,?,3
394,う,＊,2
395,う,×,0
396,う,／,3
397,う,÷,0
398,う,＃,0
399,う,＄,0
400,う,￥,0
401,う,％,0
402,う,＆,0
403,え,あ,61
404,え,い,235
405,え,う,57
406,え,え,18
407,え,お,75
408,え,か,103
409,え,き,87
410,え,く,62
411,え,け,28
412,え,こ,78
413,え,さ,22
414,え,し,132
415,え,す,80
416,え,せ,39
417,え,そ,37
418,え,た,76
419,え,ち,51
420,え,つ,22
421,え,て,76
422,え,と,82
423,え,な,65
424,え,に,52
425,え,ぬ,1
426,え,ね,6
427,え,の,95
428,え,は,62
429,え,ひ,22
430,え,ふ,14
431,え,へ,1
432,え,ほ,20
433,え,ま,46
434,え,み,49
435,え,む,1
436,え,め,13
437,え,も,62
438,え,や,18
439,え,ゆ,5
440,え,よ,35
441,え,ら,35
442,え,り,40
443,え,る,21
444,え,れ,64
445,え,ろ,7
446,え,わ,25
447,え,ゐ,1
448,え,ゑ,0
449,え,を,57
450,え,ん,57
451,え,ヴ,0
452,え,が,42
453,え,ぎ,17
454,え,ぐ,6
455,え,げ,16
456,え,ご,14
457,え,ざ,7
458,え,じ,52
459,え,ず,2
460,え,ぜ,12
461,え,ぞ,4
462,え,だ,47
463,え,ぢ,0
464,え,づ,1
465,え,で,69
466,え,ど,10
467,え,ば,17
468,え,び,12
469,え,ぶ,13
470,え,べ,6
471,え,ぼ,4
472,え,ぱ,2
473,え,ぴ,3
474,え,ぷ,0
475,え,ぺ,1
476,え,ぽ,2
477,え,ぁ,2
478,え,ぃ,0
479,え,ぅ,0
480,え,ぇ,0
481,え,ぉ,0
482,え,っ,23
483,え,ゃ,9
484,え,ゅ,7
485,え,ょ,4
486,え,ゎ,0
487,え,ヵ,0
488,え,ヶ,0
489,え,ー,11
490,え,～,0
491,え,…,6
492,え,・,3
493,え,、,149
494,え,。,66
495,え,，,0
496,え,．,0
497,え,；,0
498,え,：,0
499,え,！,8
500,え,？,1
501,え,「,11
502,え,」,24
503,え,（,4
504,え,）,6
505,え,［,0
506,え,］,0
507,え,｛,0
508,え,｝,0
509,え,‘,0
510,え,’,0
511,え,“,0
512,え,”,1
513,え,1,1
514,え,2,0
515,え,3,0
516,え,4,2
517,え,5,1
518,え,6,0
519,え,7,0
520,え,8,0
521,え,9,0
522,え,0,0
523,え,＝,1
524,え,＜,0
525,え,＞,0
526,え,＋,0
527,え,?,1
528,え,＊,0
529,え,×,0
530,え,／,0
531,え,÷,0
532,え,＃,0
533,え,＄,0
534,え,￥,0
535,え,％,0
536,え,＆,0
537,お,あ,79
538,お,い,555
539,お,う,154
540,お,え,303
541,お,お,53
542,お,か,138
543,お,き,145
544,お,く,132
545,お,け,26
546,お,こ,125
547,お,さ,86
548,お,し,229
549,お,す,65
550,お,せ,28
551,お,そ,19
552,お,た,96
553,お,ち,40
554,お,つ,47
555,お,て,178
556,お,と,81
557,お,な,377
558,お,に,81
559,お,ぬ,8
560,お,ね,24
561,お,の,167
562,お,は,68
563,お,ひ,20
564,お,ふ,9
565,お,へ,6
566,お,ほ,6
567,お,ま,88
568,お,み,91
569,お,む,21
570,お,め,15
571,お,も,65
572,お,や,36
573,お,ゆ,5
574,お,よ,24
575,お,ら,59
576,お,り,89
577,お,る,83
578,お,れ,80
579,お,ろ,59
580,お,わ,59
581,お,ゐ,0
582,お,ゑ,0
583,お,を,64
584,お,ん,74
585,お,ヴ,0
586,お,が,138
587,お,ぎ,21
588,お,ぐ,3
589,お,げ,19
590,お,ご,24
591,お,ざ,5
592,お,じ,156
593,お,ず,14
594,お,ぜ,5
595,お,ぞ,6
596,お,だ,27
597,お,ぢ,0
598,お,づ,4
599,お,で,51
600,お,ど,15
601,お,ば,21
602,お,び,26
603,お,ぶ,10
604,お,べ,2
605,お,ぼ,8
606,お,ぱ,7
607,お,ぴ,0
608,お,ぷ,5
609,お,ぺ,0
610,お,ぽ,0
611,お,ぁ,2
612,お,ぃ,0
613,お,ぅ,0
614,お,ぇ,0
615,お,ぉ,0
616,お,っ,242
617,お,ゃ,32
618,お,ゅ,2
619,お,ょ,8
620,お,ゎ,0
621,お,ヵ,0
622,お,ヶ,0
623,お,ー,3
624,お,～,0
625,お,…,0
626,お,・,1
627,お,、,92
628,お,。,18
629,お,，,0
630,お,．,0
631,お,；,0
632,お,：,0
633,お,！,2
634,お,？,0
635,お,「,1
636,お,」,8
637,お,（,7
638,お,）,5
639,お,［,0
640,お,］,0
641,お,｛,0
642,お,｝,0
643,お,‘,0
644,お,’,0
645,お,“,0
646,お,”,0
647,お,1,2
648,お,2,0
649,お,3,0
650,お,4,1
651,お,5,1
652,お,6,1
653,お,7,0
654,お,8,1
655,お,9,2
656,お,0,0
657,お,＝,0
658,お,＜,0
659,お,＞,0
660,お,＋,0
661,お,?,0
662,お,＊,0
663,お,×,0
664,お,／,0
665,お,÷,0
666,お,＃,0
667,お,＄,0
668,お,￥,0
669,お,％,0
670,お,＆,0
671,か,あ,165
672,か,い,461
673,か,う,201
674,か,え,63
675,か,お,132
676,か,か,337
677,か,き,213
678,か,く,199
679,か,け,133
680,か,こ,270
681,か,さ,187
682,か,し,570
683,か,す,153
684,か,せ,123
685,か,そ,121
686,か,た,568
687,か,ち,141
688,か,つ,74
689,か,て,488
690,か,と,342
691,か,な,329
692,か,に,336
693,か,ぬ,14
694,か,ね,46
695,か,の,516
696,か,は,433
697,か,ひ,79
698,か,ふ,33
699,か,へ,41
700,か,ほ,57
701,か,ま,200
702,か,み,89
703,か,む,48
704,か,め,47
705,か,も,197
706,か,や,150
707,か,ゆ,11
708,か,よ,96
709,か,ら,185
710,か,り,213
711,か,る,190
712,か,れ,103
713,か,ろ,104
714,か,わ,119
715,か,ゐ,0
716,か,ゑ,0
717,か,を,273
718,か,ん,103
719,か,ヴ,0
720,か,が,430
721,か,ぎ,40
722,か,ぐ,14
723,か,げ,42
724,か,ご,36
725,か,ざ,6
726,か,じ,266
727,か,ず,28
728,か,ぜ,70
729,か,ぞ,9
730,か,だ,193
731,か,ぢ,6
732,か,づ,14
733,か,で,270
734,か,ど,135
735,か,ば,42
736,か,び,10
737,か,ぶ,29
738,か,べ,7
739,か,ぼ,28
740,か,ぱ,15
741,か,ぴ,1
742,か,ぷ,13
743,か,ぺ,3
744,か,ぽ,8
745,か,ぁ,16
746,か,ぃ,0
747,か,ぅ,0
748,か,ぇ,2
749,か,ぉ,1
750,か,っ,207
751,か,ゃ,14
752,か,ゅ,18
753,か,ょ,35
754,か,ゎ,0
755,か,ヵ,0
756,か,ヶ,0
757,か,ー,18
758,か,～,1
759,か,…,11
760,か,・,22
761,か,、,534
762,か,。,119
763,か,，,0
764,か,．,2
765,か,；,0
766,か,：,1
767,か,！,11
768,か,？,19
769,か,「,38
770,か,」,128
771,か,（,25
772,か,）,20
773,か,［,0
774,か,］,0
775,か,｛,0
776,か,｝,0
777,か,‘,0
778,か,’,0
779,か,“,1
780,か,”,4
781,か,1,19
782,か,2,12
783,か,3,10
784,か,4,5
785,か,5,4
786,か,6,3
787,か,7,2
788,か,8,0
789,か,9,4
790,か,0,3
791,か,＝,0
792,か,＜,0
793,か,＞,1
794,か,＋,0
795,か,?,0
796,か,＊,0
797,か,×,0
798,か,／,1
799,か,÷,0
800,か,＃,0
801,か,＄,0
802,か,￥,0
803,か,％,0
804,か,＆,0
805,き,あ,120
806,き,い,427
807,き,う,1169
808,き,え,76
809,き,お,70
810,き,か,213
811,き,き,129
812,き,く,249
813,き,け,63
814,き,こ,165
815,き,さ,44
816,き,し,361
817,き,す,157
818,き,せ,84
819,き,そ,36
820,き,た,143
821,き,ち,162
822,き,つ,125
823,き,て,141
824,き,と,193
825,き,な,184
826,き,に,76
827,き,ぬ,8
828,き,ね,70
829,き,の,196
830,き,は,154
831,き,ひ,52
832,き,ふ,33
833,き,へ,7
834,き,ほ,28
835,き,ま,74
836,き,み,56
837,き,む,20
838,き,め,43
839,き,も,111
840,き,や,28
841,き,ゆ,10
842,き,よ,96
843,き,ら,93
844,き,り,77
845,き,る,62
846,き,れ,36
847,き,ろ,31
848,き,わ,47
849,き,ゐ,1
850,き,ゑ,0
851,き,を,57
852,き,ん,258
853,き,ヴ,1
854,き,が,83
855,き,ぎ,11
856,き,ぐ,12
857,き,げ,58
858,き,ご,9
859,き,ざ,7
860,き,じ,128
861,き,ず,12
862,き,ぜ,6
863,き,ぞ,5
864,き,だ,115
865,き,ぢ,0
866,き,づ,7
867,き,で,59
868,き,ど,52
869,き,ば,28
870,き,び,8
871,き,ぶ,9
872,き,べ,4
873,き,ぼ,15
874,き,ぱ,9
875,き,ぴ,5
876,き,ぷ,16
877,き,ぺ,2
878,き,ぽ,2
879,き,ぁ,0
880,き,ぃ,5
881,き,ぅ,2
882,き,ぇ,2
883,き,ぉ,0
884,き,っ,71
885,き,ゃ,20
886,き,ゅ,50
887,き,ょ,66
888,き,ゎ,0
889,き,ヵ,0
890,き,ヶ,0
891,き,ー,22
892,き,～,1
893,き,…,3
894,き,・,3
895,き,、,209
896,き,。,95
897,き,，,0
898,き,．,0
899,き,；,0
900,き,：,0
901,き,！,2
902,き,？,1
903,き,「,20
904,き,」,24
905,き,（,7
906,き,）,5
907,き,［,0
908,き,］,0
909,き,｛,0
910,き,｝,0
911,き,‘,0
912,き,’,0
913,き,“,1
914,き,”,0
915,き,1,10
916,き,2,11
917,き,3,4
918,き,4,5
919,き,5,7
920,き,6,5
921,き,7,3
922,き,8,3
923,き,9,3
924,き,0,3
925,き,＝,0
926,き,＜,0
927,き,＞,0
928,き,＋,0
929,き,?,0
930,き,＊,0
931,き,×,0
932,き,／,0
933,き,÷,0
934,き,＃,0
935,き,＄,0
936,き,￥,0
937,き,％,0
938,き,＆,0
939,く,あ,126
940,く,い,498
941,く,う,195
942,く,え,81
943,く,お,84
944,く,か,242
945,く,き,214
946,く,く,170
947,く,け,47
948,く,こ,133
949,く,さ,156
950,く,し,247
951,く,す,111
952,く,せ,47
953,く,そ,56
954,く,た,259
955,く,ち,72
956,く,つ,179
957,く,て,185
958,く,と,189
959,く,な,158
960,く,に,124
961,く,ぬ,2
962,く,ね,14
963,く,の,213
964,く,は,172
965,く,ひ,60
966,く,ふ,27
967,く,へ,14
968,く,ほ,46
969,く,ま,179
970,く,み,49
971,く,む,21
972,く,め,26
973,く,も,152
974,く,や,40
975,く,ゆ,10
976,く,よ,58
977,く,ら,72
978,く,り,122
979,く,る,181
980,く,れ,111
981,く,ろ,27
982,く,わ,36
983,く,ゐ,1
984,く,ゑ,0
985,く,を,106
986,く,ん,537
987,く,ヴ,0
988,く,が,124
989,く,ぎ,11
990,く,ぐ,9
991,く,げ,18
992,く,ご,18
993,く,ざ,3
994,く,じ,65
995,く,ず,15
996,く,ぜ,12
997,く,ぞ,3
998,く,だ,62
999,く,ぢ,0
1000,く,づ,8
1001,く,で,104
1002,く,ど,52
1003,く,ば,23
1004,く,び,17
1005,く,ぶ,44
1006,く,べ,28
1007,く,ぼ,10
