No.,1文字目,2文字目,出現数
1,あ,あ,44
2,あ,い,477
3,あ,う,25
4,あ,え,21
5,あ,お,43
6,あ,か,117
7,あ,き,82
8,あ,く,49
9,あ,け,52
10,あ,こ,22
11,あ,さ,136
12,あ,し,98
13,あ,す,38
14,あ,せ,10
15,あ,そ,75
16,あ,た,256
17,あ,ち,24
18,あ,つ,88
19,あ,て,26
20,あ,と,135
21,あ,な,148
22,あ,に,69
23,あ,ぬ,2
24,あ,ね,10
25,あ,の,97
26,あ,は,15
27,あ,ひ,7
28,あ,ふ,11
29,あ,へ,3
30,あ,ほ,3
31,あ,ま,80
32,あ,み,5
33,あ,む,3
34,あ,め,48
35,あ,も,1
36,あ,や,26
37,あ,ゆ,6
38,あ,よ,2
39,あ,ら,121
40,あ,り,447
41,あ,る,860
42,あ,れ,79
43,あ,ろ,20
44,あ,わ,102
45,あ,ゐ,0
46,あ,ゑ,0
47,あ,を,19
48,あ,ん,204
49,あ,ヴ,0
50,あ,が,95
51,あ,ぎ,0
52,あ,ぐ,1
53,あ,げ,185
54,あ,ご,5
55,あ,ざ,8
56,あ,じ,37
57,あ,ず,9
58,あ,ぜ,1
59,あ,ぞ,0
60,あ,だ,10
61,あ,ぢ,0
62,あ,づ,1
63,あ,で,17
64,あ,ど,13
65,あ,ば,1
66,あ,び,5
67,あ,ぶ,15
68,あ,べ,8
69,あ,ぼ,2
70,あ,ぱ,5
71,あ,ぴ,3
72,あ,ぷ,5
73,あ,ぺ,0
74,あ,ぽ,1
75,あ,ぁ,15
76,あ,ぃ,0
77,あ,ぅ,1
78,あ,ぇ,0
79,あ,ぉ,0
80,あ,っ,384
81,あ,ゃ,0
82,あ,ゅ,0
83,あ,ょ,0
84,あ,ゎ,0
85,あ,ヵ,0
86,あ,ヶ,0
87,あ,ー,37
88,あ,～,0
89,あ,…,10
90,あ,・,9
91,あ,、,82
92,あ,。,39
93,あ,，,0
94,あ,．,0
95,あ,；,0
96,あ,：,0
97,あ,！,17
98,あ,？,5
99,あ,「,1
100,あ,」,5
101,あ,（,0
102,あ,）,1
103,あ,［,0
104,あ,］,0
105,あ,｛,0
106,あ,｝,0
107,あ,‘,0
108,あ,’,0
109,あ,“,0
110,あ,”,1
111,あ,1,0
112,あ,2,0
113,あ,3,0
114,あ,4,0
115,あ,5,0
116,あ,6,0
117,あ,7,0
118,あ,8,0
119,あ,9,0
120,あ,0,0
121,あ,＝,0
122,あ,＜,0
123,あ,＞,0
124,あ,＋,0
125,あ,?,0
126,あ,＊,0
127,あ,×,0
128,あ,／,0
129,あ,÷,0
130,あ,＃,0
131,あ,＄,0
132,あ,￥,0
133,あ,％,0
134,あ,＆,0
135,い,あ,99
136,い,い,517
137,い,う,883
138,い,え,281
139,い,お,187
140,い,か,687
141,い,き,540
142,い,く,245
143,い,け,226
144,い,こ,382
145,い,さ,329
146,い,し,923
147,い,す,273
148,い,せ,226
149,い,そ,114
150,い,た,960
151,い,ち,567
152,い,つ,215
153,い,て,761
154,い,と,682
155,い,な,497
156,い,に,614
157,い,ぬ,33
158,い,ね,99
159,い,の,938
160,い,は,416
161,い,ひ,104
162,い,ふ,106
163,い,へ,78
164,い,ほ,81
165,い,ま,1236
166,い,み,75
167,い,む,46
168,い,め,85
169,い,も,241
170,い,や,228
171,い,ゆ,14
172,い,よ,253
173,い,ら,93
174,い,り,188
175,い,る,1079
176,い,れ,157
177,い,ろ,177
178,い,わ,170
179,い,ゐ,0
180,い,ゑ,0
181,い,を,357
182,い,ん,358
183,い,ヴ,0
184,い,が,454
185,い,ぎ,48
186,い,ぐ,21
187,い,げ,39
188,い,ご,104
189,い,ざ,24
190,い,じ,370
191,い,ず,40
192,い,ぜ,67
193,い,ぞ,36
194,い,だ,308
195,い,ぢ,0
196,い,づ,14
197,い,で,526
198,い,ど,154
199,い,ば,95
200,い,び,22
201,い,ぶ,138
202,い,べ,19
203,い,ぼ,25
204,い,ぱ,4
205,い,ぴ,0
206,い,ぷ,14
207,い,ぺ,2
208,い,ぽ,3
209,い,ぁ,0
210,い,ぃ,0
211,い,ぅ,0
212,い,ぇ,0
213,い,ぉ,0
214,い,っ,864
215,い,ゃ,0
216,い,ゅ,0
217,い,ょ,0
218,い,ゎ,0
219,い,ヵ,0
220,い,ヶ,0
221,い,ー,8
222,い,～,1
223,い,…,12
224,い,・,16
225,い,、,298
226,い,。,514
227,い,，,0
228,い,．,0
229,い,；,1
230,い,：,0
231,い,！,36
232,い,？,8
233,い,「,8
234,い,」,118
235,い,（,28
236,い,）,50
237,い,［,0
238,い,］,0
239,い,｛,0
240,い,｝,0
241,い,‘,0
242,い,’,0
243,い,“,0
244,い,”,4
245,い,1,12
246,い,2,12
247,い,3,8
248,い,4,5
249,い,5,5
250,い,6,2
251,い,7,0
252,い,8,0
253,い,9,2
254,い,0,1
255,い,＝,1
256,い,＜,0
257,い,＞,3
258,い,＋,0
259,い,?,2
260,い,＊,1
261,い,×,0
262,い,／,4
263,い,÷,0
264,い,＃,0
265,い,＄,0
266,い,￥,0
267,い,％,0
268,い,＆,0
269,う,あ,59
270,う,い,379
271,う,う,26
272,う,え,318
273,う,お,81
274,う,か,729
275,う,き,441
276,う,く,50
277,う,け,286
278,う,こ,467
279,う,さ,323
280,う,し,1178
281,う,す,295
282,う,せ,254
283,う,そ,178
284,う,た,162
285,う,ち,307
286,う,つ,126
287,う,て,130
288,う,と,638
289,う,な,528
290,う,に,1100
291,う,ぬ,2
292,う,ね,61
293,う,の,803
294,う,は,428
295,う,ひ,124
296,う,ふ,90
297,う,へ,74
298,う,ほ,165
299,う,ま,213
300,う,み,137
301,う,む,47
302,う,め,117
303,う,も,204
304,う,や,130
305,う,ゆ,40
306,う,よ,145
307,う,ら,130
308,う,り,219
309,う,る,48
310,う,れ,101
311,う,ろ,63
312,う,わ,124
313,う,ゐ,0
314,う,ゑ,0
315,う,を,465
316,う,ん,145
317,う,ヴ,0
318,う,が,617
319,う,ぎ,77
320,う,ぐ,33
321,う,げ,59
322,う,ご,131
323,う,ざ,33
324,う,じ,554
325,う,ず,29
326,う,ぜ,60
327,う,ぞ,47
328,う,だ,238
329,う,ぢ,0
330,う,づ,5
331,う,で,515
332,う,ど,191
333,う,ば,67
334,う,び,30
335,う,ぶ,130
336,う,べ,20
337,う,ぼ,41
338,う,ぱ,3
339,う,ぴ,0
340,う,ぷ,4
341,う,ぺ,1
342,う,ぽ,1
343,う,ぁ,1
344,う,ぃ,3
345,う,ぅ,0
346,う,ぇ,48
347,う,ぉ,1
348,う,っ,70
349,う,ゃ,0
350,う,ゅ,0
351,う,ょ,0
352,う,ゎ,0
353,う,ヵ,0
354,う,ヶ,0
355,う,ー,7
356,う,～,3
357,う,…,9
358,う,・,34
359,う,、,151
360,う,。,394
361,う,，,1
362,う,．,0
363,う,；,0
364,う,：,3
365,う,！,6
366,う,？,12
367,う,「,3
368,う,」,80
369,う,（,33
